elecciones,tipo,Fuente,fecha,fecha de elaboracion,Hillary Clinton,Donald Trump,Participacion,Sample,margin
US,Elecciones,,08-Nov,,48.20,46.10,55.70,,
US,Encuesta,UPI/CVoter,07-Nov,"November 1-7, 2016",49.00,46.00,,"1,728",3
US,Encuesta,YouGov/The Economist,07-Nov,"November 4-7, 2016",49.00,45.00,,"3,677",1.7
US,Encuesta,Bloomberg News/Selzer,06-Nov,"November 4-6, 2016",46.00,43.00,,799,3.5
US,Encuesta,ABC News/Washington Post,06-Nov,"November 3-6, 2016",49.00,46.00,,"2,220",2.5
US,Encuesta,Fox News,06-Nov,"November 3-6, 2016",48.00,44.00,,"1,295",2.5
US,Encuesta,IBD/TIPP,06-Nov,"November 3-6, 2016",43.00,42.00,,"1,026",3.1
US,Encuesta,Monmouth University,06-Nov,"November 3-6, 2016",50.00,44.00,,802,3.6
US,Encuesta,Ipsos/Reuters,06-Nov,"November 2-6, 2016",44.00,39.00,,"2,195",2.4
US,Encuesta,CBS News/New York Times,06-Nov,"November 2-6, 2016",47.00,43.00,,"1,426",3
US,Encuesta,NBC News/SurveyMonkey,06-Nov,"October 31 - November 6, 2016",51.00,44.00,,"70,194",1
US,Encuesta,CCES/YouGov,06-Nov,"October 4 - November 6, 2016",43.00,39.00,,"84,292",
US,Encuesta,NBC News/Wall Street Journal,05-Nov,"November 3-5, 2016",48.00,43.00,,"1,282",2.73
US,Encuesta,ABC News/Washington Post,05-Nov,"November 2-5, 2016",49.00,45.00,,"1,937",2.5
US,Encuesta,IBD/TIPP,05-Nov,"November 2-5, 2016",45.00,44.00,,903,3.3
US,Encuesta,UPI/CVoter,05-Nov,"October 30 - November 5, 2016",49.00,46.00,,"1,572",3
US,Encuesta,USC/Los Angeles Times,05-Nov,"October 30 - November 5, 2016",43.00,48.00,,"2,988",4.5
US,Encuesta,ABC News/Washington Post,04-Nov,"November 1-4, 2016",49.00,44.00,,"1,685",2.5
US,Encuesta,IBD/TIPP,04-Nov,"November 1-4, 2016",46.00,43.00,,804,3.5
US,Encuesta,Ipsos/Reuters,04-Nov,"October 31 - November 4, 2016",44.00,40.00,,"2,244",2.4
US,Encuesta,UPI/CVoter,04-Nov,"October 29 - November 4, 2016",49.00,48.00,,"1,497",3
US,Encuesta,USC/Los Angeles Times,04-Nov,"October 29 - November 4, 2016",43.00,48.00,,"2,987",4.5
US,Encuesta,Fox News,03-Nov,"November 1-3, 2016",46.00,45.00,,"1,107",3
US,Encuesta,McClatchy/Marist,03-Nov,"November 1-3, 2016",46.00,44.00,,940,3.2
US,Encuesta,Ipsos/Reuters,03-Nov,"October 30 - November 3, 2016",44.00,39.00,,"2,021",2.6
US,Encuesta,ABC News/Washington Post,03-Nov,"October 31 - November 3, 2016",49.00,45.00,,"1,419",3
US,Encuesta,IBD/TIPP,03-Nov,"October 30 - November 3, 2016",45.00,44.00,,898,3.3
